players_id,year,team,league,G,AB,R,H,HR,RBI,SB,CS,BB,SO
00020a493f3b,2015,MIL,NL,2,2,0,0,0,0,0,0,0,2
00020a493f3b,2017,MIL,NL,1,0,0,0,0,0,0,0,0,0
00020a493f3b,2018,MIL,NL,10,2,1,1,0,2,0,0,0,1
00020a493f3b,2018,KCA,AL,7,0,0,0,0,0,0,0,0,0
000492168bd5,1969,MIN,AL,16,2,4,0,0,0,1,2,0,1
000492168bd5,1970,MIN,AL,27,22,8,2,0,0,0,0,0,6
0007b3925736,1913,SLA,AL,7,26,2,7,0,2,1,,1,9
0007b3925736,1917,SLA,AL,109,313,32,72,2,25,8,,28,34
0007b3925736,1919,SLA,AL,27,63,9,15,0,6,0,,12,3
000b415221f6,2006,NYN,NL,3,0,0,0,0,0,0,0,0,0
000b415221f6,2007,FLO,NL,22,0,0,0,0,0,0,0,0,0
000f9b5832e6,1907,CHN,NL,3,10,1,1,0,1,1,,1,0
000f9b5832e6,1907,BSN,NL,58,191,24,50,0,18,8,,15,15
000f9b5832e6,1908,BSN,NL,127,418,44,102,0,40,17,,45,25
000f9b5832e6,1909,BSN,NL,138,493,44,120,1,36,25,,37,22
000f9b5832e6,1910,BSN,NL,150,499,43,133,5,46,25,,61,28
000f9b5832e6,1911,BSN,NL,137,523,92,164,3,63,33,,77,26
000f9b5832e6,1912,BSN,NL,153,593,84,204,1,100,27,,68,34
000f9b5832e6,1913,BSN,NL,139,502,65,129,0,47,18,,66,50
000f9b5832e6,1914,CHN,NL,134,463,45,101,1,38,18,,53,15
00148e917757,1979,DET,AL,10,0,0,0,0,0,0,0,0,0
00148e917757,1980,DET,AL,15,0,0,0,0,0,0,0,0,0
00208e503159,1959,CLE,AL,13,36,7,8,1,5,0,0,2,7
00208e503159,1961,LAA,AL,57,199,16,45,5,20,0,1,7,54
00208e503159,1962,LAA,AL,7,14,0,2,0,0,0,0,0,6
0027c64349ff,1975,PIT,NL,30,61,9,10,0,3,1,0,7,6
0027c64349ff,1976,NYA,AL,125,430,59,115,1,40,37,12,58,39
0027c64349ff,1977,NYA,AL,147,551,91,151,4,40,13,6,64,53
0027c64349ff,1978,NYA,AL,134,499,87,139,3,42,36,7,82,51
0027c64349ff,1979,NYA,AL,153,574,98,155,5,61,33,12,95,39
0027c64349ff,1980,NYA,AL,138,513,99,151,7,46,30,5,119,45
0027c64349ff,1981,NYA,AL,93,357,59,83,2,24,14,5,57,24
0027c64349ff,1982,NYA,AL,144,553,85,155,3,36,16,9,75,35
0027c64349ff,1983,NYA,AL,104,420,73,117,2,38,12,4,53,32
0027c64349ff,1984,NYA,AL,142,564,86,162,2,31,10,6,86,42
0027c64349ff,1985,NYA,AL,143,497,75,137,5,40,16,9,85,39
0027c64349ff,1986,NYA,AL,141,492,76,136,5,50,15,2,94,49
0027c64349ff,1987,NYA,AL,120,449,96,137,7,67,11,1,82,25
0027c64349ff,1988,NYA,AL,110,404,43,93,2,34,8,4,55,39
0027c64349ff,1989,LAN,NL,145,549,62,155,2,36,7,6,71,51
0027c64349ff,1990,LAN,NL,26,96,15,26,1,9,1,0,13,9
0027c64349ff,1990,OAK,AL,93,292,37,75,1,21,6,1,32,25
0027c64349ff,1991,ML4,AL,124,431,60,141,0,54,4,2,75,38
0027c64349ff,1992,NYN,NL,90,286,29,72,2,15,1,3,40,34
0029d84f52d4,1885,SL5,NL,4,11,1,1,0,1,,,3,7
002c96ce8cb0,2002,SEA,AL,12,0,0,0,0,0,0,0,0,0
002c96ce8cb0,2003,SEA,AL,50,0,0,0,0,0,0,0,0,0
002c96ce8cb0,2004,SEA,AL,45,0,0,0,0,0,0,0,0,0
002c96ce8cb0,2005,SEA,AL,55,0,0,0,0,0,0,0,0,0
002c96ce8cb0,2006,SEA,AL,48,0,0,0,0,0,0,0,0,0
002c96ce8cb0,2007,SEA,AL,9,0,0,0,0,0,0,0,0,0
002e3ae0e050,1968,NYN,NL,12,22,1,1,0,0,0,0,1,15
002e3ae0e050,1969,NYN,NL,27,37,0,5,0,3,0,1,3,18
002e3ae0e050,1970,NYN,NL,32,54,6,8,0,2,0,0,5,17
002e3ae0e050,1971,NYN,NL,24,23,0,1,0,1,0,0,1,11
002e3ae0e050,1972,NYN,NL,28,43,2,2,0,1,0,0,3,14
002e3ae0e050,1973,NYN,NL,24,15,3,2,0,2,0,0,6,7
002e3ae0e050,1974,SDN,NL,15,7,0,1,0,0,0,0,1,1
002ed964107b,2011,TBA,AL,40,0,0,0,0,0,0,0,0,0
002ed964107b,2012,TBA,AL,15,1,0,0,0,1,0,0,1,1
002ed964107b,2013,TBA,AL,26,0,0,0,0,0,0,0,0,0
002ed964107b,2014,TBA,AL,29,0,0,0,0,0,0,0,0,0
002ed964107b,2015,TBA,AL,64,0,0,0,0,0,0,0,0,0
0036cc1cef2d,1990,PIT,NL,44,6,1,2,0,1,0,0,0,4
0036cc1cef2d,1990,MON,NL,23,2,0,0,0,0,0,0,0,1
0036cc1cef2d,1991,MON,NL,64,2,1,0,0,0,0,0,1,1
0036cc1cef2d,1992,CIN,NL,57,3,0,0,0,0,0,0,0,3
0036cc1cef2d,1993,CIN,NL,4,0,0,0,0,0,0,0,0,0
003bd92de799,1997,CHA,AL,19,0,0,0,0,0,0,0,0,0
003bd92de799,1999,DET,AL,29,0,0,0,0,0,0,0,0,0
003bd92de799,2000,DET,AL,27,1,0,0,0,0,0,0,0,0
003bd92de799,2001,HOU,NL,66,6,0,1,0,0,0,0,0,2
003bd92de799,2002,HOU,NL,43,13,0,0,0,1,0,0,1,8
003bd92de799,2003,COL,NL,20,13,1,2,0,1,0,0,0,2
003f4e6799ac,2018,PIT,NL,18,23,1,2,0,4,0,0,1,10
